province,district,year,line,station,location,pm10,pm25,co2,hcho,co,no2,radon,voc,agency,data_date
대전광역시,유성구,2025,1호선,반석,,48.4,15.9,391,17.3,1,0.026,32,186.2,대전교통공사,2025-09-26
대전광역시,유성구,2025,1호선,지족,,51.5,12.4,283,6.9,1.7,0.018,54.5,43.3,대전교통공사,2025-09-26
대전광역시,유성구,2025,1호선,노은,,47,22.1,279,9.8,1.4,0.024,30,65,대전교통공사,2025-09-26
대전광역시,유성구,2025,1호선,월드컵경기장,,38.9,16.9,271,10.5,1.3,0.021,35.5,64.3,대전교통공사,2025-09-26
대전광역시,유성구,2025,1호선,현충원,,59.4,17.5,253,12.5,1.1,0.027,21,52.2,대전교통공사,2025-09-26
대전광역시,유성구,2025,1호선,구암,,77.8,17.1,243,3.9,0.9,0.019,28.5,99.9,대전교통공사,2025-09-26
대전광역시,유성구,2025,1호선,유성온천,,72,33.5,262,8.6,1.4,0.016,33.5,23.9,대전교통공사,2025-09-26
대전광역시,서구,2025,1호선,갑천,,41.5,22.4,298,13.1,1.7,0.026,37.5,62.5,대전교통공사,2025-09-26
대전광역시,서구,2025,1호선,월평,,44.9,25.7,297,30.2,1.2,0.028,32,70.6,대전교통공사,2025-09-26
대전광역시,서구,2025,1호선,갈마,,36.7,17.7,293,10.9,0.7,0.026,23,81.8,대전교통공사,2025-09-26
대전광역시,서구,2025,1호선,정부청사,,34.6,16.8,312,4.5,1.7,0.025,34.5,23.8,대전교통공사,2025-09-26
대전광역시,서구,2025,1호선,시청,,30.2,18.1,317,5.1,2.1,0.032,16,14,대전교통공사,2025-09-26
대전광역시,서구,2025,1호선,탄방,,29.8,15.7,273,6.4,1,0.018,26.5,15.5,대전교통공사,2025-09-26
대전광역시,서구,2025,1호선,용문,,28.9,16.3,253,5.4,1.2,0.033,29,18.5,대전교통공사,2025-09-26
대전광역시,중구,2025,1호선,오룡,,28.3,20.8,266.5,15.1,1,0.035,17.5,10.8,대전교통공사,2025-09-26
대전광역시,중구,2025,1호선,서대전네거리,,28.6,14.1,316,17,1.5,0.018,57.3,12.6,대전교통공사,2025-09-26
대전광역시,중구,2025,1호선,중구청,,29.7,14.5,232,15.1,1.3,0.013,66,12.5,대전교통공사,2025-09-26
대전광역시,중구,2025,1호선,중앙로,,26.4,15.9,256,9,1.5,0.017,34.5,13.5,대전교통공사,2025-09-26
대전광역시,동구,2025,1호선,대전,,34.1,23,325.3,11.1,0.9,0.022,37.3,87.7,대전교통공사,2025-09-26
대전광역시,동구,2025,1호선,대동,,24.6,19.7,236.7,6,1.4,0.025,61.3,13,대전교통공사,2025-09-26
대전광역시,동구,2025,1호선,신흥,,19.5,13.4,221.5,8.7,1,0.04,32.5,26.1,대전교통공사,2025-09-26
대전광역시,동구,2025,1호선,판암,,45.9,26.4,214.5,9.1,1.1,0.027,29,21.3,대전교통공사,2025-09-26
