province,district,year,line,station,location,pm10,pm25,co2,hcho,co,no2,radon,voc,agency,data_date
서울특별시,성북구,2023,6호선,안암,대합실 및 승강장,38.8,20.7,556,15.1,2.5,0.035,41,90.8,서울교통공사,2025-07-23
서울특별시,성북구,2023,6호선,보문,대합실 및 승강장,48.2,24.7,549.5,4.7,2.1,0.032,52.8,184.6,서울교통공사,2025-07-23
서울특별시,종로구,2023,6호선,창신,대합실 및 승강장,69.4,37.6,549,7.8,2,0.017,44.4,96.1,서울교통공사,2025-07-23
서울특별시,종로구,2023,6호선,동묘앞(6),대합실 및 승강장,65.4,37.7,544,20.1,2.5,0.023,36.6,138.4,서울교통공사,2025-07-23
서울특별시,중구,2023,6호선,신당(6),대합실 및 승강장,55.8,30.4,547.6,12.6,2.3,0.023,39.9,104.7,서울교통공사,2025-07-23
서울특별시,중구,2023,6호선,청구(6),대합실 및 승강장,45.3,26.2,554,11.4,2.2,0.024,30.9,376.3,서울교통공사,2025-07-23
서울특별시,중구,2023,6호선,약수(6),대합실 및 승강장,61.5,35.1,552.5,4,2.4,0.029,30.9,282.2,서울교통공사,2025-07-23
서울특별시,중구,2023,6호선,버티고개,대합실 및 승강장,84.7,44.8,552,15.3,2.4,0.017,39.4,278,서울교통공사,2025-07-23
서울특별시,용산구,2023,6호선,한강진,대합실 및 승강장,46.6,27.5,563.5,7.3,2.4,0.022,27.6,350.2,서울교통공사,2025-07-23
서울특별시,용산구,2023,6호선,이태원,대합실 및 승강장,71.5,39.4,552.5,11.6,2.7,0.03,25.9,302.9,서울교통공사,2025-07-23
서울특별시,용산구,2023,6호선,녹사평,대합실 및 승강장,50.9,31.1,555.3,13.4,2.2,0.028,36.6,370.8,서울교통공사,2025-07-23
서울특별시,용산구,2023,6호선,삼각지(6),대합실 및 승강장,50.2,28.4,549.6,12,2.5,0.016,45.3,361.7,서울교통공사,2025-07-23
서울특별시,용산구,2023,6호선,효창공원앞(6),대합실 및 승강장,27,16.4,533,10.5,1.6,0.023,27.3,399.7,서울교통공사,2025-07-23
서울특별시,마포구,2023,6호선,공덕(6),대합실 및 승강장,37.4,24.5,517.3,5,1.2,0.023,32.9,231.9,서울교통공사,2025-07-23
서울특별시,마포구,2023,6호선,대흥,대합실 및 승강장,24.6,17,558,5.8,2.3,0.023,27.3,265.3,서울교통공사,2025-07-23
서울특별시,마포구,2023,6호선,광흥창,대합실 및 승강장,29,16.8,556.5,5.7,2.3,0.017,29,198.1,서울교통공사,2025-07-23
서울특별시,마포구,2023,6호선,상수,대합실 및 승강장,27.2,21.2,512.5,19.8,1.1,0.026,42.4,13.2,서울교통공사,2025-07-23
서울특별시,마포구,2023,6호선,합정(6),대합실 및 승강장,73.8,39.9,538,11.6,1.1,0.015,38.5,13.8,서울교통공사,2025-07-23
서울특별시,마포구,2023,6호선,망원,대합실 및 승강장,37,21.8,582.5,16,2,0.028,25.6,21,서울교통공사,2025-07-23
서울특별시,마포구,2023,6호선,마포구청,대합실 및 승강장,28.9,17.4,534,13.7,2.5,0.036,22.3,12,서울교통공사,2025-07-23
서울특별시,마포구,2023,6호선,월드컵경기장,대합실 및 승강장,37.4,19.5,549.6,4.8,1.7,0.027,41.9,158.5,서울교통공사,2025-07-23
서울특별시,은평구,2023,6호선,디지털미디어시티(6),대합실 및 승강장,43,25.7,539.6,15.3,1.9,0.035,35.2,115.8,서울교통공사,2025-07-23
서울특별시,은평구,2023,6호선,증산,대합실 및 승강장,37,23.5,558,9.1,2.3,0.041,47.5,163.2,서울교통공사,2025-07-23
